delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,14.00390625,48.92578125,53.41796875,0.29296875,79.00390625,0.06820334701610357
0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,24.90234375,53.41796875,0.29296875,79.00390625,0.20239974739501104
0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,75.68359375,0.29296875,79.00390625,0.0
0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,7.12890625,79.00390625,0.0
0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,81.34765625,0.10167350805178402
0.8779296875,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.12219766340385223
0.6025390625,0.6259765625,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.02841806125670982
0.6025390625,0.2412109375,0.8291015625,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.09314808967477108
0.6025390625,0.2412109375,0.8076171875,12.32421875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.18882222923902747
0.6025390625,0.2412109375,0.8076171875,9.66796875,11.66015625,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.0015787811809283233
0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,3.80859375,24.90234375,75.68359375,7.12890625,81.34765625,0.3321755604673192
0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,48.92578125,75.68359375,7.12890625,81.34765625,0.2368171771392485
0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,53.41796875,7.12890625,81.34765625,0.1518787496053047
0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,0.29296875,81.34765625,0.05967792863909062
0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,79.00390625,0.13103883801705082
0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.11872434480580991
0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.00031575623618566466
0.8525390625,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.0947268708556994
0.6279296875,0.4912109375,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.012630249447426587
0.6279296875,0.3759765625,0.0576171875,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.040101041995579415
0.6279296875,0.3759765625,0.0791015625,14.66796875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.02841806125670982
0.6279296875,0.3759765625,0.0791015625,7.32421875,17.67578125,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.007893905904641616
0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,9.00390625,73.92578125,78.41796875,25.29296875,54.00390625,0.004104831070413641
0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,49.90234375,78.41796875,25.29296875,54.00390625,0.07357120303125987
0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,0.68359375,25.29296875,54.00390625,0.02241869276918219
0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,32.12890625,54.00390625,0.09377960214714241
0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,6.34765625,0.0
0.6279296875,0.4912109375,0.0576171875,14.66796875,17.67578125,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.012630249447426587
0.8525390625,0.3759765625,0.0576171875,14.66796875,17.67578125,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.00884117461319861
0.8525390625,0.4912109375,0.0791015625,14.66796875,17.67578125,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.001894537417113988
0.8525390625,0.4912109375,0.0576171875,7.32421875,17.67578125,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.012630249447426587
0.8525390625,0.4912109375,0.0576171875,14.66796875,16.66015625,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.02083991158825387
0.8525390625,0.4912109375,0.0576171875,14.66796875,17.67578125,8.80859375,49.90234375,0.68359375,32.12890625,6.34765625,0.028102305020524156
0.8525390625,0.4912109375,0.0576171875,14.66796875,17.67578125,9.00390625,73.92578125,0.68359375,32.12890625,6.34765625,0.02620776760341017
0.8525390625,0.4912109375,0.0576171875,14.66796875,17.67578125,9.00390625,49.90234375,78.41796875,32.12890625,6.34765625,0.0
0.8525390625,0.4912109375,0.0576171875,14.66796875,17.67578125,9.00390625,49.90234375,0.68359375,25.29296875,6.34765625,0.02715503631196716
0.8525390625,0.4912109375,0.0576171875,14.66796875,17.67578125,9.00390625,49.90234375,0.68359375,32.12890625,54.00390625,0.0012630249447426586
0.8525390625,0.4912109375,0.0576171875,14.66796875,17.67578125,9.00390625,49.90234375,0.68359375,32.12890625,6.34765625,0.012630249447426587
0.1279296875,0.8759765625,0.5791015625,17.32421875,6.66015625,18.80859375,23.92578125,28.41796875,75.29296875,4.00390625,0.0
0.3525390625,0.8759765625,0.5791015625,17.32421875,6.66015625,18.80859375,23.92578125,28.41796875,75.29296875,4.00390625,0.0
0.1279296875,0.9912109375,0.5791015625,17.32421875,6.66015625,18.80859375,23.92578125,28.41796875,75.29296875,4.00390625,0.01420903062835491
0.1279296875,0.8759765625,0.5576171875,17.32421875,6.66015625,18.80859375,23.92578125,28.41796875,75.29296875,4.00390625,0.0050520997789706345
0.1279296875,0.8759765625,0.5791015625,4.66796875,6.66015625,18.80859375,23.92578125,28.41796875,75.29296875,4.00390625,0.038206504578465424
0.1279296875,0.8759765625,0.5791015625,17.32421875,7.67578125,18.80859375,23.92578125,28.41796875,75.29296875,4.00390625,0.011682980738869593
0.1279296875,0.8759765625,0.5791015625,17.32421875,6.66015625,19.00390625,23.92578125,28.41796875,75.29296875,4.00390625,0.04167982317650774
0.1279296875,0.8759765625,0.5791015625,17.32421875,6.66015625,18.80859375,99.90234375,28.41796875,75.29296875,4.00390625,0.008525418377012947
0.1279296875,0.8759765625,0.5791015625,17.32421875,6.66015625,18.80859375,23.92578125,50.68359375,75.29296875,4.00390625,0.0366277233975371
0.1279296875,0.8759765625,0.5791015625,17.32421875,6.66015625,18.80859375,23.92578125,28.41796875,82.12890625,4.00390625,0.0
0.1279296875,0.8759765625,0.5791015625,17.32421875,6.66015625,18.80859375,23.92578125,28.41796875,75.29296875,56.34765625,0.00884117461319861
0.1279296875,0.9912109375,0.5576171875,4.66796875,7.67578125,19.00390625,99.90234375,50.68359375,82.12890625,56.34765625,0.3422797600252605
0.3525390625,0.8759765625,0.5576171875,4.66796875,7.67578125,19.00390625,99.90234375,50.68359375,82.12890625,56.34765625,0.017366592990211555
0.3525390625,0.9912109375,0.5791015625,4.66796875,7.67578125,19.00390625,99.90234375,50.68359375,82.12890625,56.34765625,0.1386169876855068
0.3525390625,0.9912109375,0.5576171875,17.32421875,7.67578125,19.00390625,99.90234375,50.68359375,82.12890625,56.34765625,0.09883170192611304
0.3525390625,0.9912109375,0.5576171875,4.66796875,6.66015625,19.00390625,99.90234375,50.68359375,82.12890625,56.34765625,0.00031575623618566466
0.3525390625,0.9912109375,0.5576171875,4.66796875,7.67578125,18.80859375,99.90234375,50.68359375,82.12890625,56.34765625,0.02494474265866751
0.3525390625,0.9912109375,0.5576171875,4.66796875,7.67578125,19.00390625,23.92578125,50.68359375,82.12890625,56.34765625,0.057467634985790966
0.3525390625,0.9912109375,0.5576171875,4.66796875,7.67578125,19.00390625,99.90234375,28.41796875,82.12890625,56.34765625,0.022102936532996525
0.3525390625,0.9912109375,0.5576171875,4.66796875,7.67578125,19.00390625,99.90234375,50.68359375,75.29296875,56.34765625,0.18629617934954215
0.3525390625,0.9912109375,0.5576171875,4.66796875,7.67578125,19.00390625,99.90234375,50.68359375,82.12890625,4.00390625,0.005999368487527629
0.3525390625,0.9912109375,0.5576171875,4.66796875,7.67578125,19.00390625,99.90234375,50.68359375,82.12890625,56.34765625,0.21313545942532364
0.1904296875,0.0634765625,0.0166015625,11.07421875,17.91015625,15.05859375,92.67578125,9.66796875,56.54296875,72.75390625,0.006630880959898958
0.2900390625,0.0634765625,0.0166015625,11.07421875,17.91015625,15.05859375,92.67578125,9.66796875,56.54296875,72.75390625,0.000947268708556994
0.1904296875,0.8037109375,0.0166015625,11.07421875,17.91015625,15.05859375,92.67578125,9.66796875,56.54296875,72.75390625,0.006630880959898958
0.1904296875,0.0634765625,0.8701171875,11.07421875,17.91015625,15.05859375,92.67578125,9.66796875,56.54296875,72.75390625,0.000947268708556994
0.1904296875,0.0634765625,0.0166015625,13.41796875,17.91015625,15.05859375,92.67578125,9.66796875,56.54296875,72.75390625,0.00031575623618566466
0.1904296875,0.0634765625,0.0166015625,11.07421875,11.42578125,15.05859375,92.67578125,9.66796875,56.54296875,72.75390625,0.10830438901168297
0.1904296875,0.0634765625,0.0166015625,11.07421875,17.91015625,2.75390625,92.67578125,9.66796875,56.54296875,72.75390625,0.00031575623618566466
0.1904296875,0.0634765625,0.0166015625,11.07421875,17.91015625,15.05859375,6.15234375,9.66796875,56.54296875,72.75390625,0.039469529523208084
0.1904296875,0.0634765625,0.0166015625,11.07421875,17.91015625,15.05859375,92.67578125,44.43359375,56.54296875,72.75390625,0.047679191664035364
0.1904296875,0.0634765625,0.0166015625,11.07421875,17.91015625,15.05859375,92.67578125,9.66796875,50.87890625,72.75390625,0.0
0.1904296875,0.0634765625,0.0166015625,11.07421875,17.91015625,15.05859375,92.67578125,9.66796875,56.54296875,12.59765625,0.009156930849384275
0.1904296875,0.8037109375,0.8701171875,13.41796875,11.42578125,2.75390625,6.15234375,44.43359375,50.87890625,12.59765625,0.00884117461319861
0.2900390625,0.0634765625,0.8701171875,13.41796875,11.42578125,2.75390625,6.15234375,44.43359375,50.87890625,12.59765625,0.012314493211240922
0.2900390625,0.8037109375,0.0166015625,13.41796875,11.42578125,2.75390625,6.15234375,44.43359375,50.87890625,12.59765625,0.00031575623618566466
0.2900390625,0.8037109375,0.8701171875,11.07421875,11.42578125,2.75390625,6.15234375,44.43359375,50.87890625,12.59765625,0.08493842753394379
0.2900390625,0.8037109375,0.8701171875,13.41796875,17.91015625,2.75390625,6.15234375,44.43359375,50.87890625,12.59765625,0.039153773287022416
